name,command,host_access,usrgrpid,groupid,hostgroup-name,description,confirmation,type,execute_on,timeout,scope,port,authtype,username,password,publickey,privatekey,menu_path
LIGAR Bomba 2 QBE REC C,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F000BE28021/18 -m ""1""",2,0,324,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_C,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 2 QBE REC C,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F000BE28021/18 -m ""0""",2,0,324,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_C,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 1 QBE REC D,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002F80569/17 -m ""0""",2,0,325,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_D,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 1 QBE REC D,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002F80569/17 -m ""1""",2,0,325,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_D,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR Bomba 2 QBE REC D,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002F80569/18 -m ""1""",2,0,325,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_D,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR Bomba 2 QBE REC D,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002F80569/18 -m ""0""",2,0,325,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QBE_REC_D,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C1 Ilum QDLE Churr 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003C00C85/1 -m ""1""",2,0,331,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Churr_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C1 Ilum QDLE Churr 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003C00C85/1 -m ""0""",2,0,331,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Churr_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C2 Ilum QDLE Churr 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003C00C85/2 -m ""1""",2,0,331,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Churr_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C2 Ilum QDLE Churr 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003C00C85/2 -m ""0""",2,0,331,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Churr_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C3 Ilum QDLE Churr 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003C00C85/3 -m ""1""",2,0,331,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Churr_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C3 Ilum QDLE Churr 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0003C00C85/3 -m ""0""",2,0,331,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Churr_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C2 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/18 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C1 Ilum QDLE Churr 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F000BC6F267/1 -m ""0""",2,0,332,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Churr_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C1 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/17 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C1 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/17 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C3 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/19 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C4 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/20 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C5 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/21 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C6 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/22 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C7 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/23 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C8 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/24 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C9 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/25 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C11 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/27 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C10 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/26 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C12 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/28 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C13 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/29 -m ""1""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C2 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/18 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C3 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/19 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C4 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/20 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C5 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/21 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C6 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/22 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C7 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/23 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C8 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/24 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C9 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/25 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C10 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/26 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C11 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/27 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C12 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/28 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C13 Ilum QDLE Ilum Ext 1,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5D639/29 -m ""0""",2,0,333,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_1,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C1 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/9 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C2 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/10 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C3 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/11 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C4 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/12 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C5 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/13 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C6 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/14 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C7 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/15 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C8 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/16 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C9 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/17 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C10 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/18 -m ""1""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C1 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/9 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C2 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/10 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C3 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/11 -m ""3""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C4 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/12 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C5 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/13 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C6 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/14 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C7 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/15 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C8 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/16 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C9 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/17 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
DESLIGAR C10 Ilum QDLE Ilum Ext 2,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5E46F/18 -m ""0""",2,0,334,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_Ilum_Ext_2,,Tem certeza?,0,1,30s,2,,0,,,,,
LIGAR C1 Ilum Terreo QDLE TER A,"mosquitto_pub -h 192.168.0.51 -t gw/000D6F001665BA57/onoffcmd/000D6F0002B5CBE3/1 -m ""1""",2,0,335,ROOT/CONDOMINIO VILLAGGIO/TORRE B/AREA COMUM/QUADROS/AREA QDLE_TER_A,,Tem certeza?,0,1,30s,2,,0,,,,,
